Year,geography,geography code,Obesity rate£¨inclduing serverely obese),Ethnic group: Total: All usual residents,"Ethnic group: Black, Black British, Black Welsh, Caribbean or African",ratio 1-ethnic,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: Level 4 qualifications and above,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Full-time: 49 or more hours worked,ratio 3-work time,Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census,Unemployment history: Not in employment: Never worked,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
2011-2012,Barking and Dagenham,E09000002,26.9,218871,46807,0.213856564,161746,53791,0.332564638,6065.8,94588,8211,0.086808052,67156,28236,0.420453869,31800,95,3560
2011-2012,Barnet,E09000003,19.2,389344,30651,0.078724727,309354,151642,0.490189233,4488.7,186175,24710,0.132724587,123179,41107,0.333717598,59100,135,3531
2011-2012,Bexley,E09000004,22.2,246475,30075,0.122020489,195825,61837,0.315776842,4070.7,117985,11764,0.09970759,77844,20228,0.259853039,38000,100,2400
2011-2012,Brent,E09000005,22.6,339821,59495,0.175077467,275143,109998,0.399784839,7859.6,160997,17971,0.111623198,114146,47370,0.414994831,44100,125,5630
2011-2012,Bromley,E09000006,15.6,329991,25149,0.076211169,265088,113508,0.428189884,2197.7,162122,20875,0.128761056,102966,23070,0.224054542,54500,130,3796
2011-2012,Camden,E09000007,22.3,210136,18892,0.089903681,177909,101932,0.572944595,9640.9,102511,20053,0.195618031,75397,27328,0.36245474,119000,220,4462
2011-2012,Croydon,E09000008,22.9,390724,88441,0.226351593,310397,127342,0.410255254,4516,189405,19191,0.101322563,120991,38272,0.316321049,40900,175,5859
2011-2012,Ealing,E09000009,22.2,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,135,5900
2011-2012,Enfield,E09000010,23.8,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,120,3626
2011-2012,Greenwich,E09000011,24.9,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,105,4350
2011-2012,Hackney,E09000012,27.1,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,100,4433
2011-2012,Hammersmith and Fulham,E09000013,25.8,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,110,3309
2011-2012,Haringey,E09000014,23.8,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,90,4102
2011-2012,Harrow,E09000015,20.3,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,85,2475
2011-2012,Havering,E09000016,20.9,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,115,2768
2011-2012,Hillingdon,E09000017,20.7,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,140,4679
2011-2012,Hounslow,E09000018,23.3,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,100,4496
