ObesityRate,ratio 1-ethnic,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,ratio 3-work time,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
26.9,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,95,3560
19.2,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,135,3531
22.2,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,100,2400
22.6,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,125,5630
15.6,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,130,3796
22.3,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,220,4462
22.9,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,175,5859
22.2,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,135,5900
23.8,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,120,3626
24.9,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,105,4350
27.1,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,100,4433
25.8,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,110,3309
23.8,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,90,4102
20.3,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,85,2475
20.9,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,115,2768
20.7,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,140,4679
23.3,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,100,4496
22.1,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,130,3918
22.4,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,90,2294
15.3,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,95,1968
24,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,140,5973
25,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,130,5290
19,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,80,2073
25.6,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,105,5392
23.2,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,105,2967
12.9,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,65,1550
28.5,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,155,5654
19.3,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,100,2072
25.1,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,145,4698
23.5,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,100,4383
20,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,125,3455
24.8,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,340,6868
24.4,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,95,3289
19.1,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,140,3343
24.3,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,110,2348
23.7,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,140,5142
17.1,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,140,3439
21.8,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,210,4095
22.3,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,185,5718
22.7,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,145,5792
24.1,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,130,3720
24.7,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,125,4544
25.2,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,110,4832
20.1,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,115,3201
23.4,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,105,4166
20.4,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,95,2535
19.9,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,125,2761
19.8,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,145,4279
24.6,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,105,4510
21.8,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,150,4007
20.1,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,90,2187
17,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,95,1889
23.4,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,140,5722
23.3,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,145,4880
21.3,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,90,2112
27.3,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,125,5741
21.3,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,120,3483
13.8,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,70,1645
26.7,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,165,5398
19.6,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,100,2295
26.5,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,175,5054
22.9,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,100,4219
20.2,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,130,3405
25.3,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,330,5735
26.2,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,95,3382
19.4,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,145,3580
22.5,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,100,2314
24.4,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,125,4844
15.4,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,140,3454
21,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,200,3665
22.8,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,185,5283
23,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,130,5197
24.6,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,130,3814
25.4,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,115,4306
26.1,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,110,4785
22.4,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,110,3005
22.8,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,105,3886
20.8,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,100,2596
20.6,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,130,2717
19.8,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,145,4152
23.9,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,100,4220
21.4,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,160,3880
21.3,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,90,2051
15.4,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,90,1711
25.1,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,150,5614
24.3,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,135,4863
20.3,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,90,2054
25.1,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,130,5377
22.7,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,130,3589
11.1,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,70,1535
26.7,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,155,5191
17.7,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,105,2014
25.1,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,170,5235
23.4,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,110,4386
20.3,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,140,3295
25.6,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,335,5449
25.3,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,105,4319
18.4,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,155,4753
21.4,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,105,2832
23.9,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,135,6373
16.5,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,140,4451
20.8,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,210,4575
23.8,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,200,7007
23.3,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,145,6124
25.4,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,140,5000
24.5,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,120,5425
25.6,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,130,5853
23.3,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,105,3670
22.6,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,115,5245
21.1,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,105,2945
20.8,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,140,3311
19.8,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,160,5500
22.8,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,105,4930
22.8,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,170,4993
21.5,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,85,2829
15.8,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,95,1956
27.1,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,145,7149
24.2,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,145,5777
21.6,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,95,2501
27.4,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,145,6799
22.9,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,135,4742
11.2,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,70,1967
28,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,155,6389
17.4,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,105,2611
26.7,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,175,6251
21.7,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,120,5078
20.7,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,140,4466
24.5,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,320,6760
28.5,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,125,5058
20.7,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,165,5651
